1006445:[3, 0]
1011542:[1, 1]
1017402:[6, 6]
1017801:[7, 8]
1018617:[8, 4]
1020800:[2, 1]
1031181:[7, 0]
1033176:[1, 9]
1039404:[2, 4]
1042726:[9, 6]
1053906:[2, 2]
1055751:[9, 3]
1060458:[2, 3]
1062243:[5, 8]
1071604:[9, 9]
1075781:[4, 9]
1079754:[9, 1]
1080635:[3, 6]
1084222:[5, 7]
1084357:[6, 1]
1084659:[6, 7]
1086187:[4, 1]
1087706:[7, 6]
1088342:[1, 6]
1090558:[7, 8]
1094851:[9, 1]
1098974:[5, 1]
1101833:[1, 9]
1110990:[7, 8]
1112612:[5, 1]
1120380:[9, 5]
1121165:[7, 9]
1122602:[2, 7]
1128789:[1, 7]
1138099:[7, 6]
1144099:[4, 4]
114616:[1, 7]
1150349:[7, 7]
1152146:[1, 7]
1153116:[9, 8]
1162515:[7, 7]
116259:[8, 1]
1164447:[1, 3]
1171458:[7, 8]
1177070:[7, 5]
1179072:[2, 7]
1181675:[8, 1]
1186446:[6, 1]
1186690:[6, 1]
1192401:[6, 9]
1192453:[0, 5]
1195184:[9, 6]
1198329:[6, 7]
1204152:[3, 7]
1209335:[9, 7]
1214230:[5, 3]
1216006:[1, 3]
1218411:[7, 1]
1221686:[5, 7]
1222575:[1, 1]
1224348:[0, 7]
1228558:[0, 9]
1237632:[4, 9]
1242579:[7, 1]
1244473:[5, 7]
1265053:[1, 4]
126561:[9, 6]
1270104:[2, 4]
1272752:[1, 1]
1278698:[2, 9]
1279338:[9, 1]
1283949:[2, 2]
1289163:[7, 2]
1293283:[2, 2]
1293429:[6, 7]
1298216:[7, 9]
1300175:[0, 0]
1309481:[0, 0]
1311722:[9, 9]
1317042:[7, 9]
1318086:[2, 9]
1338107:[9, 9]
1348754:[7, 0]
135214:[5, 0]
1352736:[7, 2]
1354962:[7, 5]
1355922:[4, 0]
1362133:[2, 2]
1368443:[5, 4]
1371677:[1, 1]
1372496:[3, 1]
1373937:[8, 9]
1374472:[1, 3]
1375531:[5, 8]
1383874:[4, 1]
1387285:[7, 3]
1389556:[5, 1]
1393428:[7, 4]
1396260:[4, 7]
1397918:[3, 2]
139885:[5, 6]
1400489:[9, 1]
1402766:[9, 7]
1404986:[7, 7]
1406194:[3, 1]
1406267:[3, 8]
1409590:[3, 1]
1430717:[6, 0]
1432732:[1, 8]
1439507:[5, 3]
1440741:[4, 5]
1441898:[9, 4]
1442037:[3, 6]
1442126:[9, 1]
1448119:[6, 4]
1448344:[9, 8]
1449199:[7, 0]
1458442:[9, 7]
1461057:[6, 7]
1461387:[9, 7]
1466891:[8, 9]
147068:[7, 6]
1471296:[6, 7]
1476342:[5, 1]
1477184:[6, 0]
1480526:[9, 7]
1490823:[8, 7]
1493136:[5, 8]
1506201:[7, 1]
1510793:[9, 7]
1511833:[9, 8]
1521391:[2, 9]
1529393:[5, 3]
1533317:[9, 5]
1538044:[1, 8]
1541179:[3, 9]
1547865:[9, 0]
1551211:[9, 0]
1553519:[0, 3]
1554840:[0, 1]
1558269:[5, 3]
1559192:[1, 2]
155926:[2, 2]
1559320:[0, 9]
1559563:[9, 8]
1564137:[3, 6]
1568389:[8, 7]
1572842:[2, 8]
1582581:[9, 2]
1584588:[9, 4]
1586586:[9, 9]
1589872:[5, 8]
1590399:[1, 5]
1590814:[3, 3]
159956:[7, 0]
1601179:[2, 1]
1601423:[6, 8]
1607444:[6, 0]
1608282:[1, 5]
1609141:[7, 4]
1614894:[3, 4]
1626827:[6, 1]
1636151:[5, 8]
1636496:[6, 1]
1641518:[1, 5]
1641942:[3, 0]
1643895:[6, 3]
1647269:[7, 9]
1648793:[1, 4]
1653918:[0, 9]
1659405:[6, 9]
1668781:[9, 7]
167073:[1, 2]
1673819:[5, 0]
1679325:[9, 0]
167980:[6, 7]
1688571:[3, 9]
1690398:[9, 1]
1691144:[0, 6]
169410:[7, 9]
1695692:[8, 3]
170157:[2, 9]
1704882:[9, 6]
1705223:[2, 4]
1710391:[9, 8]
1714793:[0, 9]
1716895:[9, 1]
1724724:[7, 9]
1727461:[2, 3]
1728060:[2, 9]
1734539:[9, 6]
1736257:[2, 2]
1739458:[5, 2]
1742124:[2, 1]
1748949:[2, 9]
1750593:[3, 3]
1752519:[1, 6]
175352:[1, 4]
1762433:[6, 9]
1772385:[5, 5]
1779163:[2, 9]
1786974:[0, 6]
1790405:[6, 6]
1791726:[0, 7]
1803490:[0, 8]
1806797:[4, 4]
180765:[5, 5]
1808408:[7, 5]
1808806:[5, 5]
1810239:[2, 4]
1814645:[2, 1]
1817952:[5, 9]
1818867:[9, 6]
1818955:[0, 3]
1822017:[3, 3]
1826466:[9, 5]
18280:[0, 6]
1846484:[5, 8]
1853136:[9, 5]
1858294:[6, 8]
1858978:[5, 6]
186090:[5, 1]
1861564:[4, 5]
1861890:[3, 8]
1862122:[2, 6]
1866294:[3, 2]
1876407:[4, 6]
1886261:[5, 8]
1902278:[3, 4]
1903050:[3, 0]
1903231:[0, 5]
1903876:[6, 6]
1904125:[1, 2]
1909857:[9, 8]
1919568:[2, 5]
1922428:[8, 6]
1928065:[8, 7]
1930648:[7, 4]
1930862:[6, 4]
1931771:[6, 7]
1933403:[9, 1]
1942592:[4, 5]
1946915:[2, 6]
1952600:[9, 0]
1954001:[4, 9]
1955374:[9, 5]
1957259:[2, 3]
1959049:[9, 0]
1962193:[1, 9]
196409:[1, 0]
1965515:[7, 5]
1966025:[0, 2]
1968646:[6, 7]
1975677:[9, 2]
1991074:[9, 6]
1998995:[9, 4]
2001301:[6, 9]
2003443:[5, 3]
2007593:[2, 7]
2008831:[1, 9]
2010464:[6, 7]
2010727:[3, 3]
2010847:[4, 4]
2017849:[1, 7]
2018144:[3, 7]
2021145:[3, 7]
2025360:[4, 0]
2026396:[7, 7]
2032044:[5, 0]
2042029:[3, 0]
2045317:[5, 1]
2045574:[2, 6]
2045656:[5, 7]
2047337:[7, 1]
2051844:[9, 7]
205348:[0, 2]
2056048:[7, 2]
2059465:[7, 7]
2059915:[9, 4]
2059957:[4, 1]
2060740:[2, 7]
206187:[2, 2]
2073222:[2, 6]
2075062:[6, 0]
2077269:[9, 1]
2077494:[6, 3]
2078982:[9, 1]
2087180:[5, 4]
2087706:[5, 3]
2092981:[1, 5]
2098839:[1, 1]
2099456:[9, 2]
2101409:[7, 5]
2120809:[2, 0]
2127469:[2, 0]
212901:[8, 0]
2131046:[8, 7]
2132440:[2, 6]
2137084:[1, 1]
2139168:[6, 9]
2141399:[7, 8]
2141597:[1, 7]
2141741:[9, 9]
2152582:[3, 7]
2158736:[1, 9]
2158904:[1, 2]
2161880:[7, 6]
2168289:[9, 1]
2171335:[1, 8]
21783:[7, 9]
2189239:[1, 6]
2193935:[5, 0]
2194497:[2, 1]
2194993:[7, 7]
2195137:[0, 9]
2196359:[9, 6]
221151:[1, 9]
2211930:[3, 5]
2212973:[9, 6]
2217216:[4, 2]
2217448:[7, 5]
2222007:[3, 5]
2226195:[5, 1]
2232152:[3, 2]
2232222:[5, 1]
2234746:[6, 0]
2240103:[7, 8]
2243749:[9, 9]
2246010:[3, 5]
2249750:[8, 6]
2250667:[6, 8]
2253470:[8, 6]
225871:[2, 2]
2259763:[0, 5]
2271998:[0, 4]
2273377:[1, 9]
2275377:[7, 7]
2276183:[2, 9]
2277421:[3, 1]
2277632:[1, 7]
2277731:[9, 7]
2278817:[6, 9]
2279696:[7, 1]
2283061:[3, 9]
2285094:[7, 9]
2286415:[8, 7]
2288268:[7, 3]
2290340:[9, 6]
2299886:[9, 9]
2301326:[7, 2]
2304929:[9, 4]
2305334:[2, 1]
2306577:[4, 1]
2312005:[9, 6]
2327899:[1, 4]
2330387:[6, 8]
2332275:[5, 9]
2333002:[7, 8]
2342368:[1, 1]
2352492:[5, 1]
2354986:[6, 6]
2356472:[8, 4]
2358814:[7, 2]
2366732:[5, 8]
2367279:[0, 9]
2370001:[8, 3]
2371325:[2, 4]
2373904:[3, 6]
2379131:[7, 0]
2379926:[3, 8]
2390610:[9, 9]
2391334:[5, 6]
2396297:[3, 5]
2400308:[3, 9]
2400521:[6, 6]
2402232:[1, 7]
240463:[1, 9]
241267:[0, 7]
2417653:[5, 6]
2423398:[8, 9]
2425539:[2, 1]
243205:[4, 5]
243946:[9, 9]
2441349:[9, 6]
2451705:[3, 4]
2454261:[5, 7]
245575:[0, 4]
2460969:[7, 1]
2463912:[7, 3]
2465981:[9, 1]
2467487:[7, 9]
2470713:[6, 9]
2487761:[9, 1]
2491261:[2, 6]
2491507:[1, 0]
2493179:[8, 5]
2493618:[1, 6]
2501213:[5, 4]
2502787:[9, 5]
2512557:[5, 2]
2521519:[9, 3]
2527507:[1, 5]
