1001656:[6, 3]
1003445:[3, 7]
1005583:[9, 9]
1005640:[1, 4]
1005821:[8, 6]
1006210:[4, 5]
1008784:[1, 4]
1012344:[3, 0]
101261:[5, 9]
1012670:[7, 7]
1013720:[0, 4]
1014944:[7, 6]
1016945:[5, 3]
101770:[0, 1]
1017954:[5, 6]
1018244:[7, 5]
1018676:[2, 1]
1020249:[1, 9]
1021694:[2, 1]
1023721:[0, 4]
1023759:[7, 0]
1026499:[8, 2]
1029690:[2, 0]
1033248:[1, 9]
1034241:[8, 1]
103472:[5, 0]
1034898:[4, 1]
1035246:[3, 1]
1038131:[7, 5]
1039384:[2, 6]
104009:[0, 4]
1040500:[5, 6]
1043547:[4, 5]
1043723:[5, 8]
1044599:[6, 0]
1046050:[7, 9]
104702:[9, 0]
104713:[0, 3]
1047189:[7, 0]
1047230:[7, 3]
1047702:[3, 6]
1047774:[7, 9]
1049514:[4, 3]
1049833:[5, 4]
1052227:[9, 7]
1052532:[6, 8]
1052861:[1, 0]
1053727:[7, 7]
1053925:[3, 0]
1055178:[0, 9]
1055221:[4, 0]
1055775:[1, 0]
1058272:[2, 2]
1058803:[2, 4]
1060909:[4, 9]
1063734:[1, 9]
1063836:[0, 9]
1064106:[5, 4]
1064314:[8, 9]
1064692:[0, 4]
1065047:[5, 8]
1065089:[0, 7]
1065194:[0, 5]
1066239:[3, 3]
1066792:[1, 4]
1068065:[8, 9]
1068290:[7, 1]
1068896:[4, 2]
1069258:[8, 7]
1069963:[4, 0]
1072507:[0, 4]
1073381:[2, 4]
1073564:[1, 6]
1075122:[8, 3]
1075855:[8, 4]
1077831:[0, 7]
1078887:[7, 4]
1080609:[8, 1]
1083060:[2, 2]
1083175:[4, 1]
1083335:[0, 0]
1084543:[7, 5]
1084868:[0, 9]
1085052:[0, 9]
1085416:[7, 4]
1086655:[1, 6]
1086757:[8, 7]
1086793:[7, 0]
1087623:[7, 5]
1088474:[7, 2]
1088908:[5, 4]
1089392:[7, 6]
1089668:[4, 8]
1089883:[4, 0]
1092849:[1, 9]
1095203:[0, 8]
1095401:[1, 7]
1095990:[7, 2]
1099590:[7, 9]
1099656:[1, 0]
1099730:[7, 5]
1100967:[7, 6]
1103930:[5, 3]
1104050:[7, 0]
1105852:[1, 7]
1107097:[4, 2]
1108979:[8, 2]
1110749:[7, 8]
1111396:[9, 9]
1112354:[6, 4]
1113112:[2, 9]
1117507:[8, 9]
1118875:[8, 7]
1119883:[3, 9]
1120116:[7, 0]
1121289:[7, 9]
1123517:[5, 9]
1126320:[5, 2]
1126523:[3, 5]
1127282:[2, 2]
1127863:[8, 3]
1128381:[2, 1]
112846:[7, 4]
1128981:[5, 7]
1129727:[9, 8]
1129742:[7, 0]
1129800:[4, 9]
1131051:[7, 0]
1131278:[5, 3]
1134317:[2, 6]
1137450:[0, 9]
1139206:[0, 2]
1139622:[5, 8]
1140768:[1, 9]
1145048:[0, 6]
1145066:[3, 9]
1145500:[7, 6]
1145506:[8, 1]
1148009:[3, 4]
1148229:[7, 9]
1148411:[4, 5]
1148541:[9, 9]
1149610:[4, 2]
1149683:[7, 7]
115000:[7, 1]
1150091:[4, 1]
1150211:[4, 1]
1152765:[7, 8]
1152773:[7, 9]
1160784:[8, 3]
1161782:[7, 9]
1162717:[4, 1]
1163322:[1, 9]
1164863:[7, 9]
1165350:[1, 6]
1165365:[7, 5]
1166291:[8, 3]
1166303:[6, 6]
1166315:[3, 0]
1169073:[1, 1]
1169565:[9, 8]
1170012:[7, 3]
1170175:[5, 2]
1171994:[7, 6]
1172879:[9, 6]
1174331:[1, 7]
1174589:[7, 2]
1176237:[3, 1]
1176668:[7, 2]
117828:[7, 5]
1178798:[9, 3]
1178880:[3, 4]
1179746:[7, 6]
1180798:[7, 5]
1181709:[8, 1]
1181960:[3, 7]
1182138:[1, 0]
1182500:[4, 0]
1182909:[7, 4]
1183076:[5, 4]
118472:[1, 9]
1186372:[9, 4]
1186770:[7, 5]
1187548:[7, 1]
1189340:[7, 4]
1189952:[0, 1]
1190783:[5, 7]
1191497:[7, 0]
1194322:[7, 6]
1196607:[1, 1]
1197495:[3, 8]
1199165:[7, 4]
1200375:[2, 1]
1201246:[0, 2]
1201356:[3, 7]
1201532:[5, 6]
1202770:[3, 4]
120291:[0, 5]
1205986:[2, 2]
1207946:[4, 7]
1208106:[3, 9]
1208351:[6, 9]
1208406:[0, 4]
1209601:[2, 5]
1213210:[7, 5]
1216017:[7, 2]
1217039:[1, 9]
1217775:[1, 1]
121968:[7, 4]
1221844:[0, 9]
1221999:[0, 9]
1222688:[5, 3]
1222985:[4, 0]
1223531:[1, 6]
1224661:[8, 6]
1225352:[3, 4]
12261:[7, 4]
122754:[5, 0]
1231440:[3, 7]
