1000145:[0, 6]
1002577:[8, 7]
1004459:[2, 7]
1005874:[4, 4]
1006530:[8, 0]
1006940:[8, 4]
100766:[1, 7]
1009756:[8, 4]
100993:[8, 2]
1010643:[2, 7]
1012223:[4, 7]
1012429:[7, 4]
1014028:[1, 4]
1014069:[3, 5]
101508:[3, 7]
1016567:[2, 1]
1020140:[0, 1]
1020148:[7, 0]
1022756:[2, 7]
1024545:[3, 4]
1024753:[3, 2]
1025505:[1, 0]
1027877:[7, 4]
1028279:[2, 0]
1030502:[7, 0]
1031596:[2, 1]
1032337:[0, 7]
1033110:[3, 1]
1033395:[2, 7]
103347:[0, 8]
1038999:[9, 6]
104053:[3, 2]
1040825:[9, 4]
1041287:[6, 4]
104347:[8, 7]
104384:[9, 6]
1044624:[4, 8]
1045172:[9, 7]
1046433:[2, 7]
1046819:[8, 7]
1048354:[7, 4]
1049106:[0, 4]
1050084:[2, 3]
1050375:[0, 7]
1051696:[2, 0]
105244:[0, 4]
1053865:[8, 9]
1054767:[5, 4]
1054840:[0, 5]
1055154:[2, 4]
1055172:[1, 8]
1055706:[6, 4]
1057559:[2, 3]
1057704:[8, 7]
1058558:[3, 0]
1059976:[2, 7]
10625:[7, 7]
1066842:[1, 4]
1068132:[8, 4]
1068936:[1, 7]
1071257:[5, 6]
1071513:[3, 1]
1074091:[7, 4]
1075682:[1, 8]
1076236:[0, 7]
1076238:[6, 8]
1077255:[1, 8]
1082442:[3, 7]
1083052:[8, 6]
1083084:[7, 3]
1083738:[0, 9]
1085326:[7, 0]
1085517:[2, 4]
108585:[9, 4]
1086260:[8, 2]
1086709:[8, 5]
108753:[8, 7]
108754:[2, 2]
1088013:[8, 7]
1089534:[2, 7]
1090854:[4, 0]
1091069:[2, 6]
1091111:[8, 4]
1091903:[6, 2]
1094440:[9, 2]
1095838:[3, 7]
109585:[2, 4]
1096078:[6, 4]
109613:[3, 7]
1097608:[1, 9]
1098573:[2, 7]
1098682:[0, 0]
110005:[7, 9]
1100651:[1, 4]
1101484:[7, 7]
1101728:[0, 4]
1102618:[0, 7]
1103065:[6, 3]
1103951:[9, 0]
1104202:[2, 7]
1104250:[8, 7]
1104950:[9, 7]
1106699:[8, 4]
1106868:[0, 7]
1107537:[1, 0]
110879:[8, 7]
1110944:[4, 7]
1112060:[8, 3]
1113374:[4, 7]
1114115:[2, 7]
1114670:[7, 4]
1114939:[5, 4]
1115049:[3, 1]
1116889:[2, 4]
111707:[9, 4]
1117628:[8, 7]
1119916:[8, 7]
1121265:[0, 3]
1122560:[8, 7]
1124782:[8, 4]
1126020:[8, 4]
1126529:[8, 7]
112727:[3, 7]
113053:[1, 7]
1132048:[8, 4]
1136416:[9, 7]
113873:[8, 1]
1138925:[1, 1]
1139268:[8, 4]
