1001344:[0, 8]
1001719:[8, 1]
1002313:[8, 8]
1002714:[4, 0]
1002786:[9, 8]
1003701:[7, 1]
1003774:[9, 3]
1004648:[8, 0]
1004790:[8, 3]
1004867:[3, 2]
1005257:[6, 4]
1005900:[8, 8]
1007439:[3, 7]
100802:[8, 4]
1008051:[8, 9]
1009908:[5, 1]
1010244:[0, 4]
1010381:[8, 5]
1011747:[0, 5]
1012649:[8, 8]
1013302:[6, 2]
1013440:[5, 8]
1013576:[8, 4]
1014366:[6, 2]
1015938:[8, 0]
1017391:[2, 3]
1017612:[7, 0]
1017687:[0, 0]
1017849:[0, 9]
1018434:[7, 1]
1019049:[8, 1]
1019597:[8, 0]
1019844:[6, 0]
1020023:[0, 8]
1021111:[2, 3]
1021706:[6, 8]
1022811:[8, 1]
1023317:[7, 3]
1023799:[8, 0]
1024187:[6, 3]
1024479:[6, 1]
1024828:[1, 1]
1025739:[5, 2]
1028556:[9, 2]
1028806:[3, 0]
1028939:[8, 5]
1029172:[5, 3]
1030134:[1, 4]
103124:[6, 2]
1031281:[8, 6]
103170:[6, 1]
1032464:[5, 8]
1032742:[6, 6]
1033119:[7, 8]
1034313:[0, 6]
1034376:[9, 3]
103498:[8, 6]
1035655:[1, 2]
1036252:[7, 2]
103634:[6, 4]
1036467:[0, 0]
1036654:[0, 8]
1037467:[8, 6]
1039290:[3, 1]
1039503:[7, 1]
1040323:[3, 3]
1040813:[7, 3]
1041799:[8, 1]
1042529:[3, 0]
104461:[0, 3]
1044806:[9, 7]
1046481:[9, 0]
1047703:[6, 8]
1047832:[6, 3]
1048685:[8, 1]
1048778:[7, 8]
1048785:[8, 3]
1049015:[7, 1]
1049073:[8, 0]
1049284:[0, 3]
1049633:[6, 0]
1049661:[3, 6]
1050050:[7, 1]
1051234:[8, 3]
1052444:[0, 6]
1052652:[6, 1]
1053751:[4, 0]
1054010:[6, 6]
1054707:[8, 3]
1054853:[9, 6]
1056813:[7, 1]
1057370:[1, 6]
1057849:[9, 1]
1058847:[9, 8]
1059277:[0, 8]
1059282:[2, 1]
1061105:[9, 3]
1061371:[6, 7]
1061377:[6, 3]
1061763:[5, 8]
1062888:[8, 0]
1063489:[6, 3]
1064739:[0, 0]
1065309:[6, 1]
1065838:[5, 1]
1066180:[7, 0]
1066742:[1, 6]
1067618:[6, 9]
1068902:[3, 3]
1069030:[7, 6]
1069902:[8, 2]
107165:[8, 4]
