1001019:[7, 0]
10012:[0, 4]
1002174:[6, 5]
1002669:[7, 4]
1003408:[6, 4]
1004037:[7, 8]
1004405:[0, 6]
1004946:[4, 7]
1005168:[9, 7]
1009220:[8, 9]
1013042:[9, 6]
1013185:[6, 7]
1014131:[7, 7]
1014623:[0, 1]
1014647:[0, 9]
1014748:[6, 7]
1018167:[9, 6]
1023117:[5, 5]
1023722:[3, 0]
1024012:[6, 8]
1024845:[7, 9]
1025251:[6, 6]
1025526:[6, 7]
1026117:[0, 3]
1027593:[7, 5]
1028524:[0, 1]
1028566:[8, 4]
103082:[7, 7]
1032972:[0, 4]
1034720:[7, 4]
1036092:[8, 3]
1036694:[1, 6]
1038290:[4, 2]
1038851:[2, 2]
1039136:[5, 8]
1040354:[6, 7]
104355:[6, 1]
1044019:[0, 0]
1044191:[7, 5]
1045556:[5, 2]
104625:[0, 1]
1046882:[6, 7]
104730:[6, 4]
1049462:[6, 8]
1050400:[5, 4]
1050426:[5, 1]
1051583:[0, 9]
1052181:[6, 6]
1053177:[6, 5]
1054696:[8, 4]
1054803:[2, 1]
1056513:[1, 5]
1056942:[7, 9]
1058490:[3, 0]
1059083:[8, 0]
1059325:[9, 3]
1060424:[6, 1]
1060579:[6, 4]
1061806:[6, 1]
1062892:[0, 3]
1065179:[4, 1]
1066472:[9, 1]
106955:[6, 2]
1070284:[7, 8]
1070464:[8, 4]
1070873:[8, 6]
1071332:[8, 4]
1073977:[0, 6]
1074218:[9, 6]
1076523:[8, 6]
1077112:[4, 2]
1077765:[3, 0]
1078337:[7, 2]
1079283:[8, 7]
1080464:[5, 0]
1081315:[8, 8]
1082291:[7, 2]
1086441:[1, 0]
108943:[8, 4]
1089673:[6, 5]
1089713:[4, 4]
1090194:[8, 1]
1093145:[6, 6]
1093398:[7, 0]
1094210:[8, 6]
1094513:[7, 5]
1097670:[3, 9]
1098792:[6, 3]
1100286:[7, 6]
1100458:[9, 4]
1102204:[6, 7]
1102553:[6, 3]
1104625:[6, 9]
1105811:[6, 8]
110691:[8, 9]
1108109:[5, 8]
1109328:[6, 7]
1110402:[8, 2]
1111080:[6, 3]
1112418:[7, 8]
1112512:[6, 1]
1113017:[1, 4]
1114264:[8, 8]
1115186:[8, 9]
1116001:[6, 7]
1116823:[7, 2]
1117120:[4, 0]
1117470:[5, 1]
1118238:[6, 3]
1121155:[0, 9]
1126293:[6, 2]
1127201:[7, 0]
1130472:[0, 6]
1130935:[2, 2]
1131171:[0, 0]
1131318:[8, 2]
1132221:[8, 9]
1132403:[9, 7]
1132749:[2, 8]
1132965:[7, 9]
1135995:[6, 0]
1136278:[7, 5]
1137050:[4, 8]
1137643:[5, 8]
1137853:[1, 7]
1137890:[3, 9]
1139338:[6, 9]
1140448:[8, 3]
1141258:[6, 3]
1141473:[4, 6]
114258:[5, 2]
114417:[6, 9]
114545:[6, 9]
1147648:[6, 6]
1147998:[7, 6]
1148808:[3, 3]
1149468:[8, 9]
1149497:[7, 6]
1149977:[4, 6]
1151029:[8, 5]
1151047:[4, 2]
115151:[7, 2]
1152026:[5, 9]
1152558:[6, 1]
1154185:[8, 6]
1156107:[7, 1]
1156572:[0, 9]
1157261:[5, 8]
1159181:[0, 1]
1160271:[8, 6]
116202:[4, 9]
1163244:[6, 2]
1166068:[3, 7]
1166743:[5, 0]
1169369:[1, 1]
1170862:[7, 1]
1172074:[6, 8]
1172257:[6, 8]
117294:[3, 1]
1174344:[8, 6]
1174444:[5, 5]
117604:[4, 8]
1176890:[6, 1]
1179080:[5, 2]
117935:[9, 6]
1180165:[5, 4]
1180476:[0, 2]
1180597:[6, 6]
1180915:[7, 6]
