1000424:[7, 7]
1001213:[1, 1]
1003032:[7, 4]
1003762:[4, 0]
1005114:[5, 8]
1005453:[7, 0]
1005981:[0, 2]
100647:[6, 0]
1006738:[8, 0]
1006919:[7, 3]
1011148:[5, 4]
101129:[3, 0]
101241:[4, 1]
1012535:[3, 4]
1013835:[4, 6]
1013966:[7, 7]
1014413:[3, 7]
1015374:[2, 3]
1016223:[5, 5]
101844:[2, 1]
1019628:[8, 9]
1019703:[8, 6]
1020:[1, 3]
1021458:[4, 8]
1022520:[4, 7]
1022932:[4, 0]
1023408:[3, 2]
1023662:[9, 0]
10241:[3, 3]
1024736:[1, 3]
1025168:[7, 6]
1025869:[6, 8]
1026479:[1, 1]
1026824:[3, 8]
1027217:[7, 2]
1027500:[5, 2]
1027561:[6, 1]
1027977:[9, 4]
1029449:[5, 1]
1030038:[0, 5]
1030545:[3, 7]
1031038:[2, 3]
1032288:[8, 3]
1032323:[4, 0]
1032386:[7, 6]
1033088:[2, 3]
103312:[6, 2]
1033873:[2, 8]
1034004:[7, 9]
1034065:[2, 3]
103422:[9, 2]
1034345:[6, 8]
1035085:[7, 8]
1035352:[4, 2]
1035529:[0, 7]
1035537:[7, 6]
1035639:[9, 7]
1037439:[9, 4]
1038379:[8, 4]
1038457:[6, 9]
1039752:[1, 4]
1039829:[2, 7]
1041146:[4, 6]
104160:[0, 9]
1041684:[3, 1]
1041921:[9, 3]
1042175:[1, 8]
1042348:[5, 3]
1042731:[7, 1]
1043331:[3, 0]
1043561:[4, 1]
1044552:[4, 0]
1044933:[1, 4]
1044950:[4, 2]
104657:[8, 8]
1047277:[7, 9]
1047488:[1, 4]
1047960:[4, 9]
1048137:[7, 0]
1048191:[0, 5]
1048234:[7, 8]
1049309:[2, 0]
1049424:[9, 6]
1049926:[2, 7]
1050101:[4, 7]
1050330:[7, 5]
1050433:[0, 0]
1051866:[2, 8]
1051915:[2, 3]
1051927:[8, 2]
1052824:[5, 5]
1053037:[3, 1]
105362:[3, 2]
1054495:[3, 2]
1055092:[7, 3]
1055426:[3, 2]
1055436:[3, 2]
1055447:[8, 9]
1055605:[2, 1]
1057273:[3, 4]
1057347:[4, 2]
1057914:[5, 0]
1058575:[4, 0]
1058944:[1, 1]
1059255:[8, 4]
1059743:[0, 2]
1060379:[0, 9]
1062118:[0, 2]
1062596:[3, 9]
1063652:[9, 4]
1063929:[6, 5]
1065065:[4, 5]
1065433:[6, 6]
1066317:[8, 7]
1066577:[7, 0]
1067437:[0, 3]
1067595:[0, 8]
1068268:[1, 3]
1069350:[0, 2]
1069812:[3, 2]
107052:[7, 0]
1071085:[0, 9]
1071840:[2, 3]
1071873:[7, 3]
1072030:[5, 8]
1073432:[1, 8]
1073533:[2, 8]
1073903:[7, 7]
10744:[7, 8]
1074775:[0, 2]
1075548:[5, 0]
1076533:[5, 3]
1076753:[0, 3]
1077454:[8, 3]
1077784:[3, 0]
107815:[3, 5]
1079647:[0, 7]
1079918:[7, 8]
1080047:[8, 1]
1081396:[8, 1]
1082155:[7, 7]
1082267:[3, 5]
1082582:[4, 0]
1083482:[8, 5]
1083968:[5, 5]
1084616:[9, 5]
1085191:[7, 4]
1086841:[4, 0]
1086868:[8, 7]
1087446:[3, 4]
1087537:[5, 7]
1087683:[7, 7]
1089591:[2, 2]
1090008:[8, 4]
1090162:[5, 0]
1090794:[0, 0]
1090806:[0, 0]
1090976:[1, 5]
1091582:[0, 8]
109189:[2, 7]
109388:[0, 0]
1094640:[8, 0]
1095723:[9, 0]
1095806:[3, 8]
1097035:[2, 4]
1097054:[7, 8]
109734:[8, 6]
1097521:[8, 6]
1097578:[0, 2]
1097969:[8, 6]
110006:[2, 8]
1101227:[3, 7]
1104318:[0, 1]
1105083:[7, 8]
1106497:[0, 2]
1107322:[9, 4]
1108142:[6, 2]
110829:[0, 3]
1108534:[8, 3]
1108839:[6, 8]
1109485:[3, 0]
1111513:[1, 2]
1112788:[2, 3]
111281:[9, 2]
1113126:[7, 7]
1114418:[9, 2]
1114772:[3, 9]
1115520:[2, 8]
1115575:[8, 1]
1115755:[9, 4]
111616:[7, 0]
1116273:[7, 0]
1118413:[7, 2]
1118430:[7, 8]
1118687:[3, 8]
1118695:[3, 8]
1119405:[8, 6]
1119455:[2, 5]
1120430:[3, 0]
1120644:[5, 3]
1120817:[2, 2]
1122907:[9, 5]
1123320:[1, 3]
1123696:[1, 3]
1124426:[5, 2]
1125787:[9, 1]
