1010921:[2, 8]
1037334:[9, 5]
1065329:[7, 4]
1074354:[5, 5]
1075719:[0, 6]
1116588:[6, 3]
1137636:[4, 3]
1141823:[6, 9]
1149436:[5, 5]
115570:[3, 4]
1156171:[4, 1]
1165979:[8, 6]
1176398:[5, 4]
1186982:[9, 1]
1205335:[9, 3]
1241473:[2, 6]
1274840:[8, 1]
1279366:[3, 6]
1281234:[5, 7]
1283760:[9, 5]
1300559:[2, 4]
1304081:[6, 4]
1307902:[6, 3]
1308341:[2, 3]
1326722:[5, 7]
1360871:[6, 4]
1366357:[7, 3]
1372665:[4, 5]
1388869:[5, 7]
1394021:[4, 7]
1415455:[8, 3]
1420289:[6, 6]
1424615:[8, 7]
1445046:[9, 3]
1455326:[0, 3]
1470515:[1, 3]
1476744:[3, 1]
1512017:[4, 1]
1517650:[7, 7]
1528734:[3, 4]
156895:[4, 4]
1584837:[3, 1]
1589968:[7, 1]
1608149:[4, 6]
162294:[1, 0]
16577:[3, 6]
1661970:[1, 6]
1666324:[8, 3]
1667104:[0, 7]
1668145:[0, 1]
1673254:[8, 4]
1689472:[0, 6]
1701318:[6, 3]
17074:[7, 8]
1707954:[9, 3]
1767579:[4, 4]
1767758:[0, 7]
1782216:[6, 6]
1786831:[5, 6]
1807648:[0, 6]
1807815:[9, 9]
1808455:[4, 3]
183275:[7, 9]
1833231:[7, 6]
1834968:[9, 7]
1835311:[3, 9]
1836112:[0, 6]
1838149:[2, 2]
183949:[7, 4]
1871395:[3, 6]
188583:[4, 8]
1886513:[3, 6]
1888653:[4, 1]
1895010:[7, 3]
1895347:[5, 5]
1904188:[9, 5]
1910238:[7, 7]
1918707:[4, 6]
1942435:[8, 6]
1944975:[8, 7]
1963249:[4, 9]
1967631:[9, 9]
1976199:[1, 0]
1991099:[7, 0]
2021011:[7, 0]
2023904:[8, 0]
2065884:[6, 4]
2080906:[1, 2]
2083424:[1, 6]
2097425:[5, 3]
2103749:[4, 4]
2124049:[5, 6]
2132504:[1, 0]
21334:[4, 5]
2148312:[4, 0]
2159474:[1, 1]
216146:[6, 5]
2167482:[5, 7]
2173179:[7, 8]
2174999:[3, 2]
2195954:[4, 2]
2197256:[7, 9]
219983:[8, 8]
2212153:[1, 5]
2241708:[2, 3]
2242432:[8, 7]
2253818:[2, 4]
2263960:[4, 6]
2295356:[1, 0]
2299364:[7, 3]
2304813:[1, 4]
2306251:[3, 7]
2310291:[9, 5]
2324075:[8, 3]
2326116:[3, 5]
2340168:[4, 7]
2356078:[3, 7]
2360690:[5, 5]
2363210:[0, 8]
2366260:[5, 5]
239537:[5, 3]
2428105:[1, 9]
2433022:[4, 9]
2470992:[7, 7]
2520590:[0, 3]
2532216:[7, 6]
2534667:[0, 1]
2626547:[3, 2]
2630578:[7, 6]
2630844:[9, 8]
26339:[4, 6]
2635073:[8, 8]
2637812:[2, 1]
2688441:[5, 0]
2706341:[4, 6]
2710159:[4, 3]
2738928:[1, 2]
2742638:[7, 9]
2747597:[7, 3]
2794905:[8, 5]
2808566:[7, 4]
2822422:[7, 3]
2827443:[1, 6]
2835052:[6, 4]
2886317:[9, 6]
2892264:[6, 4]
2908252:[4, 7]
2908305:[8, 2]
2913720:[7, 6]
2956756:[8, 4]
2960982:[2, 3]
2961422:[9, 6]
2983182:[6, 6]
2986187:[2, 2]
3008557:[1, 0]
3020871:[5, 2]
302225:[5, 6]
3037829:[4, 4]
304442:[1, 1]
3046505:[8, 8]
3057049:[8, 8]
3059841:[4, 3]
3064970:[6, 9]
3065249:[4, 5]
3069674:[6, 7]
3094449:[4, 3]
3117298:[3, 4]
3129774:[4, 8]
3144687:[2, 4]
314615:[9, 0]
3159632:[4, 6]
3182108:[8, 9]
3229788:[2, 9]
3233971:[1, 3]
3235837:[5, 1]
3252794:[3, 8]
3255724:[7, 0]
3262511:[4, 9]
3269238:[9, 6]
334010:[6, 0]
344448:[4, 6]
347153:[1, 8]
360931:[4, 5]
369443:[5, 7]
382513:[8, 1]
384612:[7, 4]
385314:[4, 6]
398781:[2, 4]
40300:[4, 6]
40602:[7, 6]
419282:[7, 1]
429720:[9, 8]
440984:[6, 8]
467887:[2, 2]
481070:[5, 6]
481544:[8, 3]
483497:[6, 5]
505904:[9, 3]
529964:[9, 6]
552271:[3, 8]
564103:[4, 7]
578557:[8, 1]
598739:[1, 2]
608890:[9, 8]
635953:[4, 9]
662715:[0, 3]
662758:[2, 4]
679661:[3, 1]
68003:[5, 2]
710700:[0, 6]
713965:[2, 7]
744331:[7, 3]
761648:[5, 0]
774687:[5, 2]
777518:[4, 5]
796879:[4, 8]
801823:[4, 7]
803429:[6, 1]
856553:[0, 1]
85762:[5, 3]
863688:[7, 1]
89435:[6, 0]
916093:[5, 3]
964816:[9, 6]
